key,scroll,segment,recipe,windows,max_score,mean_score,best_y0,best_x0,window_px,ci_hi
PHercParis4/segments/20260623151041-w069-072/ink-detection/downsampled/PHercParis4-20260623151041-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623151041-w069-072,1um_s1z2,31,0.8473,0.7045,17408,60928,8704,0.1103
PHerc0172/segments/20251113130119-w073_20251113130119516_flatboi/ink-detection/downsampled/PHerc0172-20251113130119-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113130119-w073_20251113130119516_flatboi,other,30,0.8705,0.699,6200,4960,2488,0.1135
PHerc0172/segments/20250926112011-w078_20250926112011918_flatboi/ink-detection/downsampled/PHerc0172-20250926112011-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926112011-w078_20250926112011918_flatboi,other,23,0.9066,0.6986,7440,7440,2488,0.1431
PHerc0172/segments/20251106170358-w076_20251106170358232_flatboi/ink-detection/downsampled/PHerc0172-20251106170358-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251106170358-w076_20251106170358232_flatboi,other,20,0.8851,0.6983,1240,8680,2488,0.1611
PHercParis4/segments/20260623152443-w077-080/ink-detection/downsampled/PHercParis4-20260623152443-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623152443-w077-080,1um_s1z2,38,0.8373,0.6979,39168,156672,8704,0.0918
PHercParis4/segments/20260623154617-w089-091/ink-detection/downsampled/PHercParis4-20260623154617-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623154617-w089-091,1um_s1z2,31,0.8682,0.6974,43520,91392,8704,0.1103
PHerc0172/segments/20251113204233-w075_20251113204233755_flatboi/ink-detection/downsampled/PHerc0172-20251113204233-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251113204233-w075_20251113204233755_flatboi,other,30,0.8478,0.6955,7440,1240,2488,0.1135
PHerc0172/segments/20250926132117-w083_20250926132117595_flatboi/ink-detection/downsampled/PHerc0172-20250926132117-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926132117-w083_20250926132117595_flatboi,other,22,0.8375,0.6921,8680,3720,2488,0.1487
PHercParis4/segments/20260623155914-w095-097/ink-detection/downsampled/PHercParis4-20260623155914-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260623155914-w095-097,canon,105,0.9411,0.69,0,151552,8192,0.0353
PHerc0172/segments/20250917143559-w062_20250917143559205_flatboi/ink-detection/downsampled/PHerc0172-20250917143559-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250917143559-w062_20250917143559205_flatboi,other,28,0.845,0.6853,0,3720,2488,0.1206
PHerc0172/segments/20251211135303-w054_20251211135303394_flatboi/ink-detection/downsampled/PHerc0172-20251211135303-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251211135303-w054_20251211135303394_flatboi,other,20,0.8099,0.6836,2480,8680,2488,0.1611
PHerc0172/segments/20251211152543-w053_20251211152543204_flatboi/ink-detection/downsampled/PHerc0172-20251211152543-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251211152543-w053_20251211152543204_flatboi,other,20,0.8175,0.6835,6200,0,2488,0.1611
PHerc0172/segments/20251111010954-w068_20251111010954408_flatboi/ink-detection/downsampled/PHerc0172-20251111010954-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251111010954-w068_20251111010954408_flatboi,other,30,0.8453,0.6824,3720,9920,2488,0.1135
PHerc0172/segments/20251106133152-w077_20251106133152767_flatboi/ink-detection/downsampled/PHerc0172-20251106133152-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251106133152-w077_20251106133152767_flatboi,other,23,0.8805,0.6816,0,2480,2488,0.1431
PHerc0172/segments/20251107063327-w063_20251107063327215_flatboi/ink-detection/downsampled/PHerc0172-20251107063327-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251107063327-w063_20251107063327215_flatboi,other,30,0.8776,0.6816,6200,2480,2488,0.1135
PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251112163527-w071_20251112163527854_flatboi,other,30,0.896,0.6804,6200,0,2488,0.1135
PHerc0172/segments/20251107110950-w064_20251107110950052_flatboi/ink-detection/downsampled/PHerc0172-20251107110950-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251107110950-w064_20251107110950052_flatboi,other,30,0.9051,0.6803,4960,2480,2488,0.1135
PHerc0172/segments/20251115002747-auto_grown_20251115002740308_7_flatboi/ink-detection/downsampled/PHerc0172-20251115002747-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002747-auto_grown_20251115002740308_7_flatboi,other,112,0.8705,0.6802,7440,37200,2488,0.0332
PHerc0172/segments/20251109232817-w065_20251109232817724_flatboi/ink-detection/downsampled/PHerc0172-20251109232817-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251109232817-w065_20251109232817724_flatboi,other,34,0.83,0.6798,7440,9920,2488,0.1015
PHerc0172/segments/20251106133152-w077_20251106133152767_flatboi/ink-detection/downsampled/PHerc0172-20251106133152-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251106133152-w077_20251106133152767_flatboi,other,23,0.8124,0.6791,2480,7440,2488,0.1431
PHercParis4/segments/20260623155240-w092-094/ink-detection/downsampled/PHercParis4-20260623155240-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623155240-w092-094,1um_s1z2,32,0.8729,0.6772,21760,130560,8704,0.1072
