scroll,segment,recipe,y0,x0,window_px,mass_letter
PHercParis4,20260623142658-w028-037,canon,24576,86016,8192,0.9454
PHercParis4,20260623143441-w038-045,1um_s1z2,39168,65280,8704,0.9453
PHercParis4,20260701183124-w010-027,canon,8192,4096,8192,0.9453
PHercParis4,20260701183131-w069-072,canon,8192,131072,8192,0.9453
PHercParis4,20260701183125-w028-037,canon,40960,110592,8192,0.9452
PHercParis4,20231005123336,canon,16384,81920,8192,0.9451
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,0,28672,8192,0.9450
PHercParis4,20231106155351,1um_s1z2,21760,21760,8704,0.9450
PHercParis4,20260623142658-w028-037,canon,12288,77824,8192,0.9450
PHercParis4,20260623142658-w028-037,canon,16384,45056,8192,0.9450
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,24576,0,8192,0.9448
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,69632,8192,0.9447
PHercParis4,20231007101619,canon,12288,12288,8192,0.9446
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,108800,8704,0.9446
PHercParis4,20260701183126-w038-045,canon,49152,135168,8192,0.9446
PHerc0172,20251203230500-w089_20251203230500465_flatboi,other,2480,8680,2488,0.9444
PHercParis4,20260623142658-w028-037,canon,4096,4096,8192,0.9442
PHercParis4,20260701183124-w010-027,canon,36864,61440,8192,0.9442
PHercParis4,20231106155351,canon,16384,32768,8192,0.9441
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,82688,8704,0.9441
PHercParis4,20260623143441-w038-045,1um_s1z2,39168,108800,8704,0.9441
PHercParis4,20260701183125-w028-037,canon,8192,69632,8192,0.9441
PHercParis4,20231012184424,canon,36864,65536,8192,0.9440
PHercParis4,20260623143441-w038-045,1um_s1z2,17408,113152,8704,0.9439
PHercParis4,20260701183125-w028-037,canon,24576,110592,8192,0.9439
PHercParis4,20260701183125-w028-037,canon,40960,143360,8192,0.9438
PHercParis4,20231012184424,1um_s1z2,26112,8704,8704,0.9437
PHercParis4,20231012184424,canon,12288,32768,8192,0.9437
PHercParis4,20231016151002,canon,4096,20480,8192,0.9435
PHercParis4,20231022170901,canon,8192,61440,8192,0.9435
PHercParis4,20260623142658-w028-037,canon,36864,73728,8192,0.9435
PHercParis4,20260701183124-w010-027,canon,4096,12288,8192,0.9435
PHercParis4,20260701183126-w038-045,canon,40960,135168,8192,0.9435
PHercParis4,20260701183143-w110-112,canon,20480,139264,8192,0.9435
PHercParis4,20231210121321,canon,24576,20480,8192,0.9432
PHercParis4,20260701183126-w038-045,canon,8192,57344,8192,0.9432
PHercParis4,20231005123336,canon,8192,81920,8192,0.9431
PHercParis4,20260701183125-w028-037,canon,40960,40960,8192,0.9431
PHercParis4,20260701183126-w038-045,canon,32768,106496,8192,0.9431
PHercParis4,20260701183129-w059-063,canon,8192,81920,8192,0.9431
PHercParis4,20260701183125-w028-037,canon,4096,135168,8192,0.9430
PHercParis4,20231106155351,1um_s1z2,13056,26112,8704,0.9428
PHercParis4,20231012184424,1um_s1z2,21760,47872,8704,0.9427
PHercParis4,20231106155351,canon,20480,28672,8192,0.9427
PHercParis4,20260623143441-w038-045,1um_s1z2,34816,34816,8704,0.9427
PHercParis4,20260623143441-w038-045,canon,16384,110592,8192,0.9427
PHercParis4,20231022170901,canon,8192,86016,8192,0.9426
PHercParis4,20231012184424,canon,0,61440,8192,0.9425
PHercParis4,20260701183126-w038-045,canon,40960,65536,8192,0.9425
PHercParis4,20231007101619,1um_s1z2,39168,82688,8704,0.9424
PHercParis4,20260623143441-w038-045,canon,4096,163840,8192,0.9424
PHercParis4,20260623154617-w089-091,canon,4096,61440,8192,0.9424
PHercParis4,20230702185753,1um_s1z2,26112,8704,8704,0.9423
PHercParis4,20231005123336,canon,4096,16384,8192,0.9423
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,87040,8704,0.9423
PHercParis4,20260623143441-w038-045,1um_s1z2,26112,134912,8704,0.9423
PHercParis4,20231007101619,canon,12288,53248,8192,0.9422
PHercParis4,20231106155351,canon,12288,32768,8192,0.9421
PHercParis4,20260701183126-w038-045,canon,20480,106496,8192,0.9420
PHercParis4,20260623163339-w110-112,canon,8192,135168,8192,0.9419
PHercParis4,20260623142658-w028-037,canon,16384,49152,8192,0.9418
PHercParis4,20231012184424,canon,40960,16384,8192,0.9417
PHercParis4,20260623142658-w028-037,canon,8192,114688,8192,0.9417
PHercParis4,20231012184424,canon,20480,57344,8192,0.9414
PHercParis4,20260623142658-w028-037,1um_s1z2,13056,121856,8704,0.9414
PHercParis4,20260623155240-w092-094,canon,8192,40960,8192,0.9414
PHercParis4,20260623155240-w092-094,canon,20480,36864,8192,0.9414
PHercParis4,20260701183131-w069-072,canon,12288,131072,8192,0.9413
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,4096,4096,8192,0.9412
PHercParis4,20231016151002,canon,4096,16384,8192,0.9412
PHercParis4,20231210121321,canon,4096,12288,8192,0.9411
PHercParis4,20260623143441-w038-045,canon,0,131072,8192,0.9411
PHercParis4,20260623155914-w095-097,canon,0,151552,8192,0.9411
PHercParis4,20260623142658-w028-037,1um_s1z2,39168,152320,8704,0.9410
PHercParis4,20260701183125-w028-037,canon,40960,73728,8192,0.9410
PHercParis4,20231012184424,canon,28672,53248,8192,0.9409
PHercParis4,20231012184424,canon,36864,45056,8192,0.9409
PHercParis4,20260623141649-w053-058_jordi,canon,36864,114688,8192,0.9407
PHercParis4,20260701183124-w010-027,canon,40960,65536,8192,0.9407
PHercParis4,20260701183125-w028-037,canon,36864,45056,8192,0.9407
PHercParis4,20231022170901,canon,12288,65536,8192,0.9406
PHercParis4,20260623142658-w028-037,canon,20480,45056,8192,0.9406
PHerc0172,20251112000002-w087_20251112000002214_flatboi,other,8680,4960,2488,0.9405
PHercParis4,20260623143441-w038-045,1um_s1z2,39168,174080,8704,0.9405
PHercParis4,20260701183125-w028-037,canon,4096,77824,8192,0.9405
PHercParis4,20260701183126-w038-045,canon,20480,57344,8192,0.9405
PHercParis4,20231012184424,canon,12288,28672,8192,0.9404
PHercParis4,20260623142658-w028-037,1um_s1z2,17408,52224,8704,0.9402
