scroll,segment,recipe,windows,n_text,pct_text,mean_score,max_score,best_y0,best_x0
PHercParis4,20260623151041-w069-072,canon,362,8,0.0221,0.7041,0.9246,8192,147456
PHercParis4,20260623171929-w128-129,canon,233,5,0.0215,0.4977,1.0,57344,69632
PHercParis4,20260701183135-w085-088,canon,748,16,0.0214,0.7266,0.9354,12288,118784
PHercParis4,20260604223808-20231210121321_v8,1um_s1z2,47,1,0.0213,0.7306,0.9232,34816,26112
PHercParis4,20260701183141-w104-106,canon,564,12,0.0213,0.6613,0.9578,16384,12288
PHercParis4,20260623151729-w073-076,canon,379,8,0.0211,0.7522,0.9248,16384,24576
PHercParis4,20260623164704-w116-117,canon,250,5,0.02,0.6705,0.9198,40960,36864
PHercParis4,20260623144224-w046-052,1um_s1z2,157,3,0.0191,0.7276,0.94,39168,191488
PHercParis4,20260623160554-w098-100,canon,384,7,0.0182,0.7211,0.9325,12288,8192
PHerc0172,20251203230500-w089_20251203230500465_flatboi,other,110,2,0.0182,0.7075,0.9444,2480,8680
PHercParis4,20260623153216-w081-084,canon,471,8,0.017,0.7274,0.9382,0,86016
PHerc0172,20251110135803-w067_20251110135803677_flatboi,other,180,3,0.0167,0.6963,0.9286,8680,11160
PHercParis4,20260701183151-w128-129,canon,381,6,0.0157,0.4616,1.0,57344,36864
PHerc0172,20251111010954-w068_20251111010954408_flatboi,other,198,3,0.0152,0.7005,0.9103,3720,9920
PHerc0172,20251113204233-w075_20251113204233755_flatboi,other,198,3,0.0152,0.6908,0.9159,6200,1240
PHercParis4,20260623144957-w053-058,1um_s1z2,142,2,0.0141,0.7029,0.9233,17408,78336
PHercParis4,20260701183142-w107-109,canon,574,8,0.0139,0.6879,0.9274,24576,86016
PHercParis4,20260623165230-w118-119,canon,224,3,0.0134,0.714,0.9217,12288,106496
PHercParis4,20260623165742-w120-121,canon,224,3,0.0134,0.6842,0.9366,8192,81920
PHercParis4,20260701183148-w122-123,canon,398,5,0.0126,0.6171,0.9529,45056,4096
PHercParis4,20260701183139-w098-100,canon,581,6,0.0103,0.7076,0.9216,45056,94208
PHerc0172,20251109232817-w065_20251109232817724_flatboi,other,194,2,0.0103,0.698,0.9143,9920,9920
PHercParis4,20260701183133-w077-080,canon,686,7,0.0102,0.7078,0.9337,8192,163840
PHerc0172,20250926150345-w086_20250926150345176_flatboi,other,100,1,0.01,0.7082,0.908,9920,6200
PHercParis4,20260701183146-w118-119,canon,410,4,0.0098,0.6388,0.9337,12288,77824
PHerc0172,20251115002740-auto_grown_20251115002740308_0_flatboi,other,532,5,0.0094,0.6048,0.9131,1240,28520
PHerc0172,20251204060522-w090_20251204060522416_flatboi,other,110,1,0.0091,0.6704,0.9013,7440,4960
PHercParis4,20260623171400-w126-127,canon,234,2,0.0085,0.5536,0.9276,49152,20480
PHercParis4,20260623161233-w101-103,canon,362,3,0.0083,0.6748,0.9173,4096,16384
PHercParis4,20260623154006-w085-088,canon,491,4,0.0081,0.7512,0.9247,40960,77824
PHerc0172,20251211135303-w054_20251211135303394_flatboi,other,124,1,0.0081,0.6903,0.9038,6200,6200
PHerc0172,20251210160810-w057_20251210160810301_flatboi,other,126,1,0.0079,0.7156,0.904,2480,7440
PHerc0172,20251106170358-w076_20251106170358232_flatboi,other,128,1,0.0078,0.7007,0.913,1240,8680
PHerc0172,20250926132117-w083_20250926132117595_flatboi,other,136,1,0.0074,0.7298,0.9002,7440,1240
PHerc0172,20250926113336-w079_20250926113336891_flatboi,other,142,1,0.007,0.6438,0.9005,7440,9920
PHercParis4,20260701183150-w126-127,canon,386,2,0.0052,0.4608,0.929,61440,45056
PHerc0172,20251113021010-w072_20251113021010674_flatboi,other,198,1,0.0051,0.6822,0.919,7440,3720
PHerc0172,20251113130119-w073_20251113130119516_flatboi,other,198,1,0.0051,0.6773,0.9145,0,11160
PHercParis4,20260623155914-w095-097,canon,399,2,0.005,0.7208,0.9411,0,151552
PHercParis4,20260701183145-w116-117,canon,407,2,0.0049,0.6418,0.9079,40960,36864
PHercParis4,20260701183138-w095-097,canon,587,2,0.0034,0.6968,0.9107,24576,151552
PHercParis4,20260701183147-w120-121,canon,404,1,0.0025,0.6293,0.9184,16384,53248
PHercParis4,20260701183149-w124-125,canon,397,1,0.0025,0.5559,0.9253,53248,73728
