scroll,segment,recipe,windows,n_text,pct_text,mean_score,max_score,best_y0,best_x0
PHerc0139,20250108000002-w027_2025010845,1um_s1z2,5,0,0.0,0.421,0.5697,8704,8704
PHerc0343P,20250905172054-1_b2,canon,1,0,0.0,0.4127,0.4127,0,0
PHerc1667,20260108140509-w011_20260108140509268_flatboi,1um_s1z2,9,0,0.0,0.3961,0.5399,30464,4352
PHerc0500P2,20250611171318-z_dbg_gen_00440_inp_hr,canon,2,0,0.0,0.3876,0.4249,0,0
PHerc0343P,20250904233748-0_b2,canon,2,0,0.0,0.374,0.3915,4440,0
PHercParis4,20260603193311-5753_-1_copy,1um_s1z2,7,0,0.0,0.372,0.7489,30464,4352
PHerc0500P2,20250716055233-z_dbg_gen_00565_inp_hr,canon,3,0,0.0,0.3399,0.3644,8880,4440
PHerc0139,20250108000001-w026_2025010854,1um_s1z2,5,0,0.0,0.3397,0.571,8704,4352
PHerc0139,20250108000002-w027_2025010845,canon,25,0,0.0,0.33,0.7158,4096,16384
PHercParis4,20260603185441-5753_-6,canon,16,0,0.0,0.3296,0.5008,16384,4096
PHerc0139,20260311000000-w023_202603112281,canon,23,0,0.0,0.3227,0.833,16384,16384
PHerc0139,20260215000000-w024_2026021572,canon,24,0,0.0,0.3222,0.7045,0,4096
PHerc1667,20260108140509-w011_20260108140509268_flatboi,canon,16,0,0.0,0.3079,0.6168,28672,4096
PHerc1667,20251206103305-w012_20251206103305555_flatboi,canon,16,0,0.0,0.3009,0.6879,0,0
PHercParis4,20260603190005-5753_-5,canon,20,0,0.0,0.2955,0.4672,69632,0
PHerc1667,20251206103305-w012_20251206103305555_flatboi,1um_s1z2,10,0,0.0,0.2839,0.6738,30464,4352
PHercParis4,20260603042357-5753_-3,canon,28,0,0.0,0.2747,0.8899,0,4096
PHercParis4,20260603024952-5753_-2,canon,28,0,0.0,0.2705,0.8992,12288,4096
PHerc0500P2,20250611153346-z_dbg_gen_00286_inp_hr,canon,2,0,0.0,0.2364,0.3221,4440,0
PHercParis4,20260603145540-5753_-4,canon,28,0,0.0,0.2168,0.5287,61440,0
PHercParis4,20260603185441-5753_-6,1um_s1z2,5,0,0.0,0.1967,0.3698,39168,0
PHercParis4,20260603145540-5753_-4,1um_s1z2,9,0,0.0,0.1942,0.4704,39168,0
PHerc0343P,20250902170447--3_b2,canon,2,0,0.0,0.1836,0.3142,4440,0
PHercParis4,20260603190005-5753_-5,1um_s1z2,7,0,0.0,0.1713,0.3378,26112,4352
PHerc0343P,20250902171204--1_b2,canon,1,0,0.0,0.1456,0.1456,0,0
PHercParis4,20260603042357-5753_-3,1um_s1z2,9,0,0.0,0.0521,0.1725,26112,4352
PHercParis4,20260603024952-5753_-2,1um_s1z2,9,0,0.0,0.0,0.0,17408,4352
