key,scroll,segment,recipe,iy,ix,wpx_fine,wpx_coarse,thresh_fine,thresh_coarse,fine,coarse,ncomp_fine,ncomp_coarse,ext_fine,ext_coarse,frac_fine,frac_coarse
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,2,3,1024,311,125,124,0.7672,0.7681,66,61,547.0,632.8,0.1657,0.1658
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,2,4,1024,311,125,124,0.6736,0.6696,86,77,489.4,569.5,0.2319,0.2321
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,2,5,1024,311,125,124,0.4468,0.4476,98,95,470.2,443.0,0.2664,0.2665
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,2,6,1024,311,125,124,0.5642,0.566,132,124,422.2,443.0,0.184,0.1849
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,0,1024,311,125,124,0.9251,0.9256,32,30,575.8,601.2,0.0671,0.0674
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,1,1024,311,125,124,0.9178,0.9176,69,64,652.5,791.0,0.1449,0.1457
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,2,1024,311,125,124,0.9056,0.9055,78,72,614.1,727.7,0.1453,0.1462
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,3,1024,311,125,124,0.7602,0.7615,80,74,614.1,759.4,0.1744,0.1752
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,4,1024,311,125,124,0.6813,0.6729,100,85,451.0,569.5,0.238,0.2386
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,5,1024,311,125,124,0.3957,0.3961,99,88,479.8,506.2,0.2582,0.259
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,3,6,1024,311,125,124,0.4929,0.4981,131,121,422.2,443.0,0.1625,0.1647
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,0,1024,311,125,124,0.6997,0.7004,28,26,585.4,632.8,0.0962,0.0965
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,1,1024,311,125,124,0.7925,0.793,56,54,873.2,949.2,0.1569,0.157
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,2,1024,311,125,124,0.9194,0.9193,67,64,671.7,727.7,0.1441,0.1442
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,3,1024,311,125,124,0.7814,0.7822,74,69,652.5,696.1,0.1795,0.1798
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,4,1024,311,125,124,0.6715,0.6675,83,74,422.2,506.2,0.2229,0.2229
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,5,1024,311,125,124,0.527,0.4275,83,74,460.6,506.2,0.2637,0.264
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,4,6,1024,311,125,124,0.5951,0.5585,98,95,441.4,443.0,0.1691,0.1707
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,0,1024,311,125,124,0.5782,0.5841,48,44,556.6,632.8,0.085,0.0859
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,1,1024,311,125,124,0.748,0.749,76,70,633.3,632.8,0.1547,0.1555
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,2,1024,311,125,124,0.8821,0.8812,92,84,595.0,632.8,0.1585,0.1593
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,3,1024,311,125,124,0.7756,0.7763,80,73,537.4,569.5,0.1764,0.1778
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,4,1024,311,125,124,0.6694,0.664,75,68,422.2,506.2,0.2081,0.2089
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,5,1024,311,125,124,0.6468,0.5368,85,75,479.8,506.2,0.2515,0.2529
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,5,6,1024,311,125,124,0.5814,0.545,79,74,460.6,443.0,0.1621,0.1639
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,0,1024,311,125,124,0.8075,0.8061,59,57,614.1,632.8,0.0843,0.0844
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,1,1024,311,125,124,0.9009,0.9008,78,71,585.4,632.8,0.1618,0.1619
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,2,1024,311,125,124,0.91,0.9027,86,77,585.4,632.8,0.1777,0.1776
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,3,1024,311,125,124,0.8228,0.7571,84,80,527.8,537.9,0.1979,0.1969
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,4,1024,311,125,124,0.6906,0.6915,84,80,527.8,506.2,0.2153,0.2148
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,5,1024,311,125,124,0.7327,0.7344,90,83,566.2,569.5,0.2168,0.2164
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,6,6,1024,311,125,124,0.8548,0.8463,84,76,479.8,506.2,0.126,0.1262
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,0,1024,311,125,124,0.8316,0.8163,77,75,595.0,569.5,0.1079,0.108
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,1,1024,311,125,124,0.9019,0.9013,82,78,479.8,537.9,0.1607,0.162
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,2,1024,311,125,124,0.9344,0.9257,67,65,575.8,569.5,0.1659,0.1676
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,3,1024,311,125,124,0.8419,0.7673,70,67,575.8,569.5,0.1863,0.1866
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,4,1024,311,125,124,0.6949,0.6965,86,81,537.4,506.2,0.222,0.2222
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,5,1024,311,125,124,0.5653,0.5679,81,77,499.0,506.2,0.2558,0.2565
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,7,6,1024,311,125,124,0.5386,0.5335,78,76,364.6,379.7,0.1549,0.1561
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,8,0,1024,311,125,124,0.8045,0.7932,95,86,537.4,569.5,0.1098,0.1102
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,8,1,1024,311,125,124,0.8374,0.8393,97,88,479.8,506.2,0.1345,0.1343
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,8,2,1024,311,125,124,0.8817,0.8859,76,70,441.4,443.0,0.1325,0.1326
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,8,3,1024,311,125,124,0.9161,0.9213,79,70,575.8,632.8,0.1512,0.1515
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,canon,8,4,1024,311,125,124,0.9261,0.931,108,97,499.0,506.2,0.2184,0.2196
