key,scroll,segment,recipe,n_windows,scroll_base_rate,p_zero_by_chance,significant,max_score
PHerc0172/segments/20251115002741-auto_grown_20251115002740308_1_flatboi/ink-detection/downsampled/PHerc0172-20251115002741-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002741-auto_grown_20251115002740308_1_flatboi,other,103,0.00539,0.57306,0,0.8288
PHerc0172/segments/20251115002744-auto_grown_20251115002740308_4_flatboi/ink-detection/downsampled/PHerc0172-20251115002744-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002744-auto_grown_20251115002740308_4_flatboi,other,94,0.00539,0.60163,0,0.851
PHerc0172/segments/20251115002746-auto_grown_20251115002740308_6_flatboi/ink-detection/downsampled/PHerc0172-20251115002746-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002746-auto_grown_20251115002740308_6_flatboi,other,73,0.00539,0.67395,0,0.8921
PHerc0172/segments/20251115002746-auto_grown_20251115002740308_6_flatboi/ink-detection/downsampled/PHerc0172-20251115002746-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002746-auto_grown_20251115002740308_6_flatboi,other,73,0.00539,0.67395,0,0.8444
PHerc0172/segments/20251115002748-auto_grown_20251115002740308_8_flatboi/ink-detection/downsampled/PHerc0172-20251115002748-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251115002748-auto_grown_20251115002740308_8_flatboi,other,72,0.00539,0.67761,0,0.8614
PHerc0172/segments/20251115002748-auto_grown_20251115002740308_8_flatboi/ink-detection/downsampled/PHerc0172-20251115002748-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251115002748-auto_grown_20251115002740308_8_flatboi,other,72,0.00539,0.67761,0,0.8389
PHerc0172/segments/20251111151836-w069_20251111151836406_flatboi/ink-detection/downsampled/PHerc0172-20251111151836-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251111151836-w069_20251111151836406_flatboi,other,37,0.00539,0.81873,0,0.8824
PHerc0172/segments/20251111151836-w069_20251111151836406_flatboi/ink-detection/downsampled/PHerc0172-20251111151836-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251111151836-w069_20251111151836406_flatboi,other,37,0.00539,0.81873,0,0.8536
PHerc0172/segments/20251109232817-w065_20251109232817724_flatboi/ink-detection/downsampled/PHerc0172-20251109232817-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251109232817-w065_20251109232817724_flatboi,other,34,0.00539,0.83212,0,0.83
PHerc0172/segments/20251110110112-w066_20251110110112608_flatboi/ink-detection/downsampled/PHerc0172-20251110110112-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251110110112-w066_20251110110112608_flatboi,other,33,0.00539,0.83663,0,0.8865
PHerc0172/segments/20251113152136-w074_20251113152136889_flatboi/ink-detection/downsampled/PHerc0172-20251113152136-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251113152136-w074_20251113152136889_flatboi,other,30,0.00539,0.8503,0,0.8948
PHerc0172/segments/20251110135803-w067_20251110135803677_flatboi/ink-detection/downsampled/PHerc0172-20251110135803-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251110135803-w067_20251110135803677_flatboi,other,30,0.00539,0.8503,0,0.8543
